parameters,total,total_traced,total_not_traced,handled,handled_no_sla,dropped,avg_queue_time,avg_call_time,avg_drop_time,no_sla_ratio,drop_ratio
03-0.5-480-30-10-03-10-15-05,239.56666666666666,230.43333333333334,9.133333333333333,141.0,91.7,89.43333333333334,11.330637529434245,10.010711980260554,10.93676699261841,0.6510346288437334,0.38647976009478474
03-01-480-30-10-03-10-15-05,476.96666666666664,455.4,21.566666666666666,141.96666666666667,135.9,313.43333333333334,13.801554471363078,9.972739150890176,12.879187099554974,0.9573445271421046,0.6876886737532393
03-02-480-30-10-03-10-15-05,961.2666666666667,911.2,50.06666666666667,142.3,139.5,768.9,14.528401258200716,9.962984527816726,13.80726044239349,0.9803007672590848,0.8435694423447706
06-0.5-480-30-10-03-10-15-05,238.5,233.6,4.9,232.16666666666666,0.6,1.4333333333333333,1.2622031709495183,9.959655163008941,4.570833333333334,0.0023351162366205915,0.005992370386665538
06-01-480-30-10-03-10-15-05,477.9,458.9,19.0,283.03333333333336,212.83333333333334,175.86666666666667,11.652116713335124,9.979997672323316,10.747064843492703,0.7522068935383933,0.3823857366831547
06-02-480-30-10-03-10-15-05,950.6333333333333,911.6333333333333,39.0,283.1333333333333,274.8666666666667,628.5,13.813377919858219,10.008307554028082,12.683309588414746,0.9707922028201383,0.6889184505902216
09-0.5-480-30-10-03-10-15-05,236.1,230.66666666666666,5.433333333333334,230.6,0.0,0.06666666666666667,0.03760732353685476,9.988918757852701,1.0,0.0,0.00026789316549665133
09-01-480-30-10-03-10-15-05,477.06666666666666,460.3666666666667,16.7,415.76666666666665,70.06666666666666,44.6,6.408603795037416,9.983615426785923,7.674582570544056,0.16828877688738006,0.09516428985756668
09-02-480-30-10-03-10-15-05,946.2333333333333,905.6,40.63333333333333,424.56666666666666,397.1333333333333,481.03333333333336,13.023430613756867,9.99804576561491,11.700967800826675,0.9353312758761457,0.5301213791406029
12-0.5-480-30-10-03-10-15-05,240.1,235.03333333333333,5.066666666666666,235.03333333333333,0.0,0.0,0.0,9.981550973148309,,0.0,0.0
12-01-480-30-10-03-10-15-05,483.03333333333336,472.56666666666666,10.466666666666667,469.5,3.7666666666666666,3.066666666666667,1.139403882027559,9.977859730946664,3.9827335858585857,0.007806449142366668,0.006349650870865944
12-02-480-30-10-03-10-15-05,960.7666666666667,921.0,39.766666666666666,566.3,461.06666666666666,354.7,11.836228539957519,9.97957866883086,10.70795446922386,0.8143607932810816,0.3839356598360407
15-0.5-480-30-10-03-10-15-05,240.5,235.56666666666666,4.933333333333334,235.56666666666666,0.0,0.0,0.0,10.01294193375937,,0.0,0.0
15-01-480-30-10-03-10-15-05,482.03333333333336,471.43333333333334,10.6,471.26666666666665,0.0,0.16666666666666666,0.16063303429133532,9.934709811011835,1.0,0.0,0.0003454548678672968
15-02-480-30-10-03-10-15-05,956.0,918.6333333333333,37.36666666666667,706.8333333333334,369.43333333333334,211.8,9.926598759263658,9.964177712116914,9.463477784322363,0.5229061076153665,0.22922440201412606
18-0.5-480-30-10-03-10-15-05,240.0,234.76666666666668,5.233333333333333,234.76666666666668,0.0,0.0,0.0,9.977949458088654,,0.0,0.0
18-01-480-30-10-03-10-15-05,478.6333333333333,468.76666666666665,9.866666666666667,468.7,0.0,0.06666666666666667,0.027316411208137097,9.968814542201452,1.0,0.0,0.0001382401428767688
18-02-480-30-10-03-10-15-05,957.3666666666667,923.8,33.56666666666667,838.3666666666667,145.93333333333334,85.43333333333334,6.6475937443451265,9.969587674545902,7.556981052537413,0.17371385913077572,0.09106292329185944
21-0.5-480-30-10-03-10-15-05,240.03333333333333,235.36666666666667,4.666666666666667,235.36666666666667,0.0,0.0,0.0,9.952455492661194,,0.0,0.0
21-01-480-30-10-03-10-15-05,481.1666666666667,471.3333333333333,9.833333333333334,471.3333333333333,0.0,0.0,0.004432182466170003,9.9349360067088,,0.0,0.0
21-02-480-30-10-03-10-15-05,968.4333333333333,941.4333333333333,27.0,920.6,23.233333333333334,20.833333333333332,3.020211961232166,9.982140262718923,5.29836956347584,0.024789287490146274,0.02165892605641301
24-0.5-480-30-10-03-10-15-05,238.03333333333333,233.13333333333333,4.9,233.13333333333333,0.0,0.0,0.0,9.988424629293904,,0.0,0.0
24-01-480-30-10-03-10-15-05,489.06666666666666,478.9,10.166666666666666,478.9,0.0,0.0,0.0035267479195319274,10.014015772134039,,0.0,0.0
24-02-480-30-10-03-10-15-05,953.7333333333333,933.2666666666667,20.466666666666665,929.1,1.1,4.166666666666667,0.898801437736371,9.943245189295919,3.492283950617284,0.0011630009735766355,0.004374339063327626
27-0.5-480-30-10-03-10-15-05,236.56666666666666,231.86666666666667,4.7,231.86666666666667,0.0,0.0,0.0,9.955669856974195,,0.0,0.0
27-01-480-30-10-03-10-15-05,483.76666666666665,473.2,10.566666666666666,473.2,0.0,0.0,0.0,9.98351341087957,,0.0,0.0
27-02-480-30-10-03-10-15-05,969.5666666666667,948.9,20.666666666666668,947.5666666666667,1.0,1.3333333333333333,0.4820111461452082,9.967311658496234,3.3128205128205126,0.0009695899913291217,0.0013368595468595996
30-0.5-480-30-10-03-10-15-05,237.56666666666666,232.9,4.666666666666667,232.9,0.0,0.0,0.0,9.973842368743016,,0.0,0.0
30-01-480-30-10-03-10-15-05,475.43333333333334,464.7,10.733333333333333,464.7,0.0,0.0,0.0,10.020866878637332,,0.0,0.0
30-02-480-30-10-03-10-15-05,960.6333333333333,939.9666666666667,20.666666666666668,939.6,0.0,0.36666666666666664,0.1383917212627802,10.016393096270066,1.6,0.0,0.00038089392349827957
